KG id,KG name,KG SPARQL endpoint,RDF dump link,Ontology,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,R1.1 Machine- or human-readable license retrievable via any primary source,"R1.2 Publisher information, such as authors, contributors, publishers, and sources",R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection
dbtune-classical,DBTune.org/classical,http://dbtune.org/classical/sparql/,[],False,1,0.0,1,0.5555555555555556,0,1,0,1,Check manually,1,1,1,['api/sparql'],0,0,0,0,1
dbtune-john-peel-sessions,DBTune.org John Peel sessions RDF server,http://dbtune.org/bbc/peel/sparql/,[],False,1,0.0,1,0.6666666666666666,0,1,1,1,Check manually,1,1,1,"['api/sparql', 'RDF', 'RDF']",0,1,0,0,1
dbtune-magnatune,DBTune.org Magnatune RDF server,http://dbtune.org/magnatune/sparql/,[],False,1,0.0,1,0.6666666666666666,0,1,1,1,Check manually,1,1,1,"['api/sparql', 'RDF']",0,1,0,0,1
dbtune-musicbrainz,DBTune.org Musicbrainz D2R Server,http://dbtune.org/musicbrainz/sparql,[],False,1,0.0,1,0.5555555555555556,0,1,0,1,Check manually,1,1,1,['api/sparql'],0,0,0,0,1
dbtune-myspace,DBTune.org MySpace RDF Service,http://dbtune.org/myspace/sparql/,[],False,1,0.0,1,0.5555555555555556,0,1,0,1,Check manually,1,1,1,['api/sparql'],0,0,0,0,1
deutsche-biographie,Deutsche Biographie,http://ndb.publink.lod2.eu/sparql,[],False,1,0.0,1,0.6666666666666666,0,1,1,1,Check manually,1,1,1,['api/sparql'],0,0,0,0,1
deutsche-nationalbibliografie-dnb,Deutsche Nationalbibliografie (DNB),,"['https://data.dnb.de/opendata/dnb-all_lds.rdf.gz', 'https://data.dnb.de/opendata/dnb-all_lds.ttl.gz', 'https://data.dnb.de/opendata/dnb-all_lds.jsonld.gz', 'https://data.dnb.de/opendata/dnb-all_lds.nt.gz', 'https://data.dnb.de/opendata/dnb-all_lds.hdt.gz']",False,1,0.0,1,0.5555555555555556,0,1,1,1,Check manually,1,1,1,"['application/x-gzip', 'application/x-gzip', 'application/x-gzip', 'application/x-gzip', 'application/x-gzip']",0,1,0,0,1
dm2e,DM2E,,[],False,1,0.0,1,0.4444444444444444,0,1,0,1,Check manually,1,1,1,['RDF'],0,0,0,0,1
dnb-gemeinsame-normdatei,Gemeinsame Normdatei (GND),,"['https://data.dnb.de/opendata/authorities-gnd_lds.nt.gz', 'https://data.dnb.de/opendata/authorities-gnd_lds.hdt.gz']",False,1,0.0,1,0.5555555555555556,0,1,1,1,Check manually,1,1,1,"['application/x-gzip', 'application/x-gzip', 'application/x-gzip', 'application/x-gzip', 'application/x-gzip', 'application/x-gzip', 'application/x-gzip', 'application/x-gzip', 'text/trutle', 'application/x-gzip', 'application/x-gzip', 'application/x-gzip', 'application/x-gzip', 'application/x-gzip', 'application/x-gzip', 'application/x-gzip', 'application/x-gzip', 'application/x-gzip', 'application/x-gzip', 'application/x-gzip']",0,1,0,0,1
dutch-ships-and-sailors,Dutch Ships and Sailors,http://semanticweb.cs.vu.nl/dss/sparql/,[],False,1,0.0,1,0.5555555555555556,0,1,0,1,Check manually,1,1,1,"['api/sparql', 'HTML', 'api/sparql']",0,0,0,0,1
